value,anomaly_score,label
-1.1103664823555557e-38,0.0,0
-1.1413560362510038e-72,0.0,0
-1.141356036255251e-72,0.0,0
-1.1916313028689293e-125,0.0,0
-1.1916313028729576e-125,0.0,0
-1.191631302873301e-125,0.0,0
-1.191631302873899e-125,0.0,0
-1.1997574511165048e-240,0.0,0
-1.2629623053273815e+92,0.0,0
-1.2745695267383257e-231,0.0,0
-1.3730798164599e-309,0.0,0
-1.3730798164599e-309,0.0,0
-1.3730798164599e-309,0.0,0
-1.4363007565251202e+270,0.0,0
-1.4363007565251202e+270,0.0,0
-1.4363007565251202e+270,0.0,0
-1.4363007565251202e+270,0.0,0
-1.4363007565251202e+270,0.0,0
-1.4363007565251202e+270,0.0,0
-1.4363007565251202e+270,0.0,0
-1.4363007565251202e+270,0.0,0
-1.4363007565251202e+270,0.0,0
-1.4363007565251202e+270,0.0,0
-1.4363007565251202e+270,0.0,0
-1.4363007565251202e+270,0.0,0
-1.4363007565251202e+270,0.0,0
-1.4363007565251202e+270,0.0,0
-1.4363007565251202e+270,0.0,0
-1.4363007565251202e+270,0.0,0
-1.4363007565251202e+270,0.0,0
-1.4363007565251202e+270,0.0,0
-1.480484255480615e-222,0.0,0
-1.5040501572350928e-154,0.0,0
-1.5040501572386514e-154,0.0,0
-1.5087280689080798e+24,0.0,0
-1.7415711002298407e-77,0.0,0
-1.7415711002312164e-77,0.0,0
-1.7847729038971469e+308,0.0,0
-1.818285069082188e-130,0.0,0
-2.000000003730289,0.0,0
-2.000000003730289,0.0,0
-2.000000003730289,0.0,0
-2.000000003730289,0.0,0
-2.000000003730289,0.0,0
-2.000000003730289,0.0,0
-2.000000003730289,0.0,0
-2.000000003730289,0.0,0
-2.000000003730289,0.0,0
-2.000000003730289,0.0,0
-2.000000003730289,0.0,0
-2.000000003730289,0.0,0
-2.000000003730289,0.0,0
-2.000000003730289,0.0,0
-2.000000003730289,0.0,0
-2.000000003730289,0.0,0
-2.000000003730289,0.0,0
-2.000000003730289,0.0,0
-2.0291407915165922e+111,0.0,0
-2.2062609052408576e+217,0.0,0
-2.2062609052408576e+217,0.0,0
-2.2062609052408576e+217,0.0,0
-2.2062609052408576e+217,0.0,0
-2.2062609052408576e+217,0.0,0
-2.2062609052408576e+217,0.0,0
-2.2062609052408576e+217,0.0,0
-2.2062609052408576e+217,0.0,0
-2.2062609052408576e+217,0.0,0
-2.2062609052408576e+217,0.0,0
-2.2062609052408576e+217,0.0,0
